WBANNO,Lat,Lon,Name,Offset
53968,31.78,-95.72,TX_Palestine_6_WNW,-6
22016,29.35,-103.21,TX_Panther_Junction_2_N,-6
23906,28.3,-96.82,TX_Port_Aransas_32_NNE,-6
4138,41.62,-112.54,UT_Brigham_City_28_WNW,-7
53149,38.3,-111.29,UT_Torrey_7_E,-7
3739,37.29,-75.93,VA_Cape_Charles_5_ENE,-5
3759,38,-78.47,VA_Charlottesville_2_SSE,-5
4223,48.54,-121.45,WA_Darrington_21_NNE,-8
4237,47.51,-123.81,WA_Quinault_4_NE,-8
4136,47.42,-117.53,WA_Spokane_17_SSW,-8
54903,44.06,-90.17,WI_Necedah_5_WNW,-6
3733,39.01,-79.47,WV_Elkins_21_ENE,-5
94078,42.68,-108.67,WY_Lander_11_SSE,-7
4131,43.66,-110.71,WY_Moose_1_NNE,-7
94088,44.52,-104.44,WY_Sundance_8_NNW,-7
