"","POSIXct","SNEQV","SNOWH","units"
"1",2017-01-01,10,64,"mm"
"2",2017-01-02,12,80,"mm"
"3",2017-01-03,11,76,"mm"
"4",2017-01-04,11,70,"mm"
"5",2017-01-05,10,64,"mm"
"6",2017-01-06,10,64,"mm"
"7",2017-01-07,12,74,"mm"
"8",2017-01-08,16,112,"mm"
"9",2017-01-09,22,159,"mm"
"10",2017-01-10,20,141,"mm"
"11",2017-01-11,22,160,"mm"
"12",2017-01-12,19,137,"mm"
"13",2017-01-13,20,134,"mm"
"14",2017-01-14,20,132,"mm"
"15",2017-01-15,20,131,"mm"
"16",2017-01-16,20,130,"mm"
"17",2017-01-17,20,129,"mm"
"18",2017-01-18,26,179,"mm"
"19",2017-01-19,34,185,"mm"
"20",2017-01-20,13,62,"mm"
"21",2017-01-21,12,55,"mm"
"22",2017-01-22,13,64,"mm"
"23",2017-01-23,13,55,"mm"
"24",2017-01-24,0,0,"mm"
"25",2017-01-25,0,0,"mm"
"26",2017-01-26,0,0,"mm"
"27",2017-01-27,0,0,"mm"
"28",2017-01-28,0,0,"mm"
"29",2017-01-29,0,0,"mm"
"30",2017-01-30,0,0,"mm"
"31",2017-01-31,0,0,"mm"
